Id,Umur Harapan Hidup Saat Lahir (UHH) (2021)
0,71.15094739438422
4,68.09649158893768
6,73.3506217348582
7,70.52155100182709
14,71.54831911464804
20,60.173782052169294
21,73.66661986576443
33,71.39791479073756
38,71.09813544231851
53,67.24189467054917
70,70.18825862650985
78,73.78832674550851
79,62.66234196282786
85,69.78090482651638
88,64.13315222397198
93,77.52870745745929
96,72.5120430952169
100,71.18017033230832
105,74.52832546373214
116,67.42196029824464
122,72.82567985838801
123,71.55749431878803
132,69.31136768035171
143,69.19533973380321
144,69.46613890481137
148,73.07730521147411
149,64.80925059753478
154,68.23176319698587
157,66.47825998290367
165,71.40063178048095
172,69.22083181200328
174,69.5652382732356
179,74.77770885078782
180,61.765551779447534
181,73.83564837743202
188,69.05841153287936
193,67.94231512901459
195,70.49012790584219
197,68.1357637253316
198,70.95679768240407
202,72.84736330603654
209,71.6092474637348
213,73.40033695428167
216,70.68677745135848
217,74.53401700931148
225,67.31607130386244
228,70.21304386898298
233,62.56749766295533
238,67.74273050541426
246,70.61150636177119
250,71.94963623861281
253,64.98035993393036
254,71.98715910222806
257,60.25773529678738
258,73.85622139577772
267,72.58793293664256
270,70.45211426785094
274,72.20072374813942
283,71.40499672567388
285,72.5462134552069
288,72.57673083765235
293,66.7661990921331
294,72.01316358269004
300,68.08570634519559
302,68.21061435257472
304,64.81203357690524
306,70.96356664204421
308,74.18917684583397
311,73.2530875910051
313,71.10982909590545
316,68.96168610577172
322,70.27188880645161
325,74.19900668680624
346,70.46258570977326
348,67.98597132398123
353,71.75070813715122
358,67.04427795767369
365,67.94629845208263
369,73.73202065659272
383,71.48825463457
396,67.95428123760708
404,75.78172598495041
409,69.27302381154819
418,73.87705210169572
419,74.39803732418095
424,74.47856693243544
427,74.93609210444342
429,69.19364069156539
433,68.78953605292517
447,67.13002931484282
454,66.14231889069946
457,68.3103427417912
460,69.37521946634944
461,64.49966001469325
471,65.68811134947295
474,64.73426405882991
475,68.81741415951028
480,69.82095843864825
489,71.1810193452237
492,71.50141704138565
497,73.88077140735417
501,76.27186084119096
503,68.21964583908535
506,73.80724837425092
509,73.62024828370079
512,63.80442661682349
