Id,Umur Harapan Hidup Saat Lahir (UHH) (2021)
0,71.18264301246631
4,68.09250041339774
6,73.34766906584434
7,70.49451843102152
14,71.52091284740997
20,60.18108404253646
21,73.68815836218486
33,71.35821666282627
38,71.09359771250087
53,67.2553261336338
70,70.18346479890131
78,73.80722314795683
79,62.659760393095894
85,69.74033914545569
88,64.13887840260408
93,77.54505132115914
96,72.51800208121199
100,71.12705160124722
105,74.51326001621544
116,67.43635926503454
122,72.82163328332338
123,71.5847652166602
132,69.31556910827014
143,69.18644716845739
144,69.46647005650557
148,73.09408271492143
149,64.81076699062932
154,68.20918199506367
157,66.48819706364078
165,71.40955902796328
172,69.19486185919678
174,69.53941140046234
179,74.75204894074277
180,61.78991624231813
181,73.81155220051045
188,69.08050110504364
193,67.94238116154239
195,70.4779601089245
197,68.12643679837018
198,70.93583605850789
202,72.85281898774831
209,71.61760118552284
213,73.40487195731232
216,70.68789039351529
217,74.54727586430805
225,67.35649985280185
228,70.18855762354121
233,62.58726077416399
238,67.75698869102965
246,70.62266267353189
250,71.95576293850974
253,64.97203768952778
254,71.9981682266372
257,60.30793910344255
258,73.87097931484574
267,72.60315638575652
270,70.45082931918829
274,72.18964238341376
283,71.38635533347579
285,72.55514865412556
288,72.56931497851348
293,66.7707801776507
294,72.02926448313572
300,68.08793298584679
302,68.22585076539482
304,64.86246412672546
306,70.9322662937685
308,74.19302351148937
311,73.24671260776789
313,71.09233947216633
316,68.95949150516854
322,70.2646348747645
325,74.19673554852206
346,70.45776781594026
348,68.01190971031632
353,71.75293781913861
358,67.04183244090542
365,67.93788793534264
369,73.74722486798454
383,71.49544926904488
396,67.94311751679362
404,75.79512717151378
409,69.26831851585217
418,73.87739636771299
419,74.39986892865235
424,74.45914433815015
427,74.91891504628097
429,69.1796849508564
433,68.79901469083516
447,67.14331970518423
454,66.12636392927753
457,68.30416408399168
460,69.3759709207856
461,64.50236307428169
471,65.66804922210022
474,64.70913487826903
475,68.81511253893447
480,69.81134983709748
489,71.19368234088387
492,71.4657791083732
497,73.87280112345772
501,76.27969100005899
503,68.22456974595099
506,73.83673586488557
509,73.61880894328192
512,63.74250691461033
