Id,Umur Harapan Hidup Saat Lahir (UHH) (2021)
0,71.18257354710629
4,68.09104375075331
6,73.34702292258358
7,70.49914522523764
14,71.5244666431872
20,60.177175954528316
21,73.67987907628682
33,71.36066156569264
38,71.09891756120462
53,67.25711976021165
70,70.18384576960625
78,73.80890882552609
79,62.661142128953955
85,69.74479076140044
88,64.13767490554515
93,77.5468905563566
96,72.52070604154514
100,71.12999229569516
105,74.51246767170164
116,67.43142681229072
122,72.81999847197221
123,71.58708009272718
132,69.31568457794924
143,69.19103037345751
144,69.46523397401471
148,73.09602257923952
149,64.8066904817396
154,68.21349369582478
157,66.48656120643734
165,71.41381524244048
172,69.19521557684617
174,69.53546680078678
179,74.74684211121702
180,61.780814734588
181,73.80872889868762
188,69.07730607058136
193,67.9423168582871
195,70.47818397038785
197,68.12576136588535
198,70.94349146149332
202,72.85667393021123
209,71.62326549459353
213,73.40645539371829
216,70.68694957501502
217,74.54493266256551
225,67.3562038563593
228,70.18405477554485
233,62.57940731847702
238,67.75544505521361
246,70.6237122710435
250,71.95533277996763
253,64.97280277837021
254,71.99682043502288
257,60.296080992740805
258,73.87177637505035
267,72.60616223856785
270,70.45682971778265
274,72.19900413517911
283,71.39267217065742
285,72.5537828097807
288,72.57715220559815
293,66.76741248145558
294,72.02394218567473
300,68.09094357994918
302,68.23651540059178
304,64.85353369895212
306,70.94487049399717
308,74.1879205667296
311,73.24979785929094
313,71.09449239169813
316,68.95997117995613
322,70.26977406460642
325,74.20261956495919
346,70.46225732177128
348,68.01013450358046
353,71.75660502170008
358,67.04348698270117
365,67.94380265741734
369,73.74218579208863
383,71.49753909063787
396,67.9470303704704
404,75.79626748000864
409,69.27162053600313
418,73.87968109166312
419,74.41009096489915
424,74.46074031168048
427,74.91632037791895
429,69.1800273017731
433,68.79860871842939
447,67.14594059941209
454,66.12727325448944
457,68.30519262890765
460,69.37913248958178
461,64.499430792923
471,65.66809750190257
474,64.71156111871686
475,68.82317841298125
480,69.81419392197813
489,71.19069407586207
492,71.47279214689263
497,73.87516163323261
501,76.28052997638935
503,68.2284943018642
506,73.84181975774301
509,73.62091458694965
512,63.72479355358736
